BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1.0,0.0,0.17328480560563284,0.1148194718879109,0.0,0.0,0.21951219512195122,0.0,0.0,0.15616229949469437,0.004356951150760053,0.175,0.5889282439999012
1.0,0.0025380710659898475,0.15936596482873566,0.1310699958086342,0.0,0.0,0.2682926829268293,0.0,0.0,0.13661627621057595,0.0,0.175,0.5829095111942587
1.0,0.015228426395939087,0.15725704955950884,0.11380156876833722,0.0,0.6,0.22210782749920246,0.225,0.0,0.0,0.2378895328314989,0.0,0.03332534169690296
0.0,0.015228426395939087,0.6618864587230858,0.597622896832525,0.0,0.2,0.04878048780487805,0.0,0.0,0.14004299958185526,0.0,0.3,0.4435354454512473
1.0,0.017766497461928935,0.20263954556277425,0.15763726722950722,0.0,0.6,0.2926829268292683,0.0,0.0,0.1084900256681618,0.004356951150760053,0.5,0.6191900563218341
0.0,0.017766497461928935,0.6352120820436069,0.5751212502245374,0.0,0.2,0.0975609756097561,0.0,0.0,0.144381982193698,0.0,0.3,0.3933614290358872
0.0,0.030456852791878174,0.67262832069118,0.5470390994551224,0.0,0.2,0.024390243902439025,0.0,0.0,0.14790728426824237,0.0,0.3,0.4030797695550624
0.0,0.030456852791878174,0.6755127725432838,0.5961199928148015,0.0,0.2,0.04878048780487805,0.0,0.0,0.15627664493694285,0.0,0.3,0.3995199602901102
1.0,0.030456852791878174,0.01819109493520188,0.2805340997545057,0.0,0.0,0.3902439024390244,0.15,0.0,0.1880803499333942,0.008713902301520107,0.175,0.5651852043536111
1.0,0.030456852791878174,0.38699275485560736,0.2980120950841267,1.0,0.6,0.04878048780487805,0.0,0.0,0.4352488180918548,0.01307085345228016,0.9,0.9071487554514599
0.0,0.03299492385786802,0.676852954182115,0.6022693251901083,0.0,0.2,0.04878048780487805,0.0,0.0,0.13218123069121235,0.0,0.325,0.4559371399563928
0.0,0.03807106598984772,0.47476444777033233,0.39591641219088675,0.0,0.8,0.17073170731707318,0.0,0.0,0.3857366466590978,0.0,0.275,0.7414595787904164
1.0,0.04060913705583756,0.8533759651688833,0.8572720196395426,1.0,0.0,0.21951219512195122,0.0,0.75,0.2959446031752395,0.0,0.8,0.5525332887359558
0.0,0.048223350253807105,0.6504779074118168,0.5604394946410395,0.0,0.2,0.14634146341463414,0.0,0.0,0.13616136422711733,0.0,0.325,0.38577526954644964
0.0,0.048223350253807105,0.3215143372223545,0.2565415244596132,0.0,0.2,0.4878048780487805,0.0,0.0,0.3143877017119151,0.0,0.475,0.15097709398328832
1.0,0.050761421319796954,0.08694853566447838,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.19964278756390694,0.004356951150760053,0.2,0.3131672706432983
0.0,0.0532994923857868,0.3136433212014014,0.25336806179270704,0.0,0.2,0.4878048780487805,0.0,0.0,0.3135859047412351,0.0,0.475,0.14034919912976507
0.07833450952717008,0.38777767428864157,0.4185912112815325,0.44294365251900075,0.7177134791813691,0.3408609738884968,0.2246089543509556,0.007401199717713479,0.034183133380381085,0.27060675576035387,0.004821423505574867,0.4946189131968948,0.4974999775876987
0.0,0.05583756345177665,0.6603421885098133,0.584384168612658,0.0,0.2,0.04878048780487805,0.0,0.0,0.13124701134354902,0.0,0.3,0.3844694632270344
0.0,0.0583756345177665,0.680893907956053,0.5486497814502126,0.0,0.2,0.024390243902439025,0.0,0.0,0.14578729713214825,0.0,0.3,0.38570644744417526
0.0,0.0583756345177665,0.33652165039627197,0.24329680857433686,0.0,0.2,0.5121951219512195,0.0,0.0,0.31641030586226987,0.0,0.45,0.18612455364338457
1.0,0.0583756345177665,0.14623626653967822,0.06476258906652296,0.0,0.2,0.2682926829268293,0.0,0.0,0.18129377272470054,0.0,0.175,0.6987371754778097
0.0,0.06091370558375635,0.359985033504541,0.25539189270103585,1.0,0.8,0.17073170731707318,0.0,0.5,0.2547222385976276,0.004356951150760053,0.75,0.19853495356907908
0.0,0.06345177664974619,0.3501343583115072,0.22797437279204838,0.0,0.2,0.4634146341463415,0.0,0.0,0.3247457321434966,0.004356951150760053,0.475,0.11299912000228637
0.0,0.06345177664974619,0.41631348005034186,0.3700916112807616,0.0,0.0,0.07317073170731707,0.0,0.0,0.16972551604555408,0.0,0.35,0.7556851723046919
0.0,0.06345177664974619,0.30708527500935406,0.22392072330998145,0.0,0.2,0.4634146341463415,0.0,0.0,0.32300459798164527,0.0,0.45,0.14405935499193945
0.0,0.06598984771573604,0.44987924759345554,0.3446140949643734,1.0,0.4,0.07317073170731707,0.0,0.0,0.19997452569486124,0.0,0.75,0.5117666815653047
0.0,0.06598984771573604,0.43361338821048334,0.3515238608466559,0.0,0.0,0.14634146341463414,0.0,0.0,0.16178711394228992,0.0,0.325,0.7124178830369586
0.0,0.06598984771573604,0.45542365386577777,0.35257170229327583,0.0,0.0,0.04878048780487805,0.1,0.0,0.4062662203656684,0.0,0.1,0.5709941145168611
0.0,0.06852791878172589,0.33261675567196164,0.2558230046105024,1.0,0.8,0.17073170731707318,0.0,0.375,0.24992802518905471,0.0,0.725,0.23282078174588694
1.0,0.06852791878172589,0.3266437633933127,0.2570504760194,1.0,0.2,0.34146341463414637,0.05,0.375,0.1383015909485999,0.0,0.4,0.6427283276047425
0.0,0.07106598984771574,0.4153270519405422,0.34694329680857433,0.0,0.0,0.0975609756097561,0.05,0.0,0.1252011198658972,0.0,0.35,0.6834433904923324
0.0,0.07106598984771574,0.44903568148576484,0.34790132327405543,0.0,0.0,0.0975609756097561,0.0,0.0,0.18277943721399614,0.0,0.325,0.702279651504342
0.0,0.07614213197969544,0.45429436375386917,0.4037003772229208,0.0,0.0,0.04878048780487805,0.1,0.0,0.43703086350951753,0.0,0.1,0.5721356382295784
0.0,0.07614213197969544,0.5643049083302153,0.5650080833483025,0.0,0.8,0.14634146341463414,0.0,0.0,0.2804911793087628,0.0,0.65,0.3809196207090373
0.0,0.07868020304568528,0.3468893499778904,0.2512304652416023,1.0,0.8,0.21951219512195122,0.0,0.375,0.24647483644088633,0.004356951150760053,0.725,0.18026150307302366
0.0,0.07868020304568528,0.5129834348107079,0.40235914017124724,0.0,0.8,0.17073170731707318,0.0,0.0,0.4232914513600498,0.0,0.25,0.7627124961457721
0.0,0.08121827411167512,0.3647198884315793,0.2527034309322795,1.0,0.8,0.21951219512195122,0.0,0.375,0.2757420133191052,0.008713902301520107,0.75,0.20554046934711176
1.0,0.08121827411167512,0.13960338787033572,0.011298724627267828,0.0,0.0,0.12195121951219512,0.0,0.0,0.15659441304796354,0.0,0.175,0.48707751611865074
0.0,0.08121827411167512,0.42666757372699754,0.3801329261720855,0.0,0.0,0.0975609756097561,0.0,0.0,0.17325728444364447,0.0,0.35,0.7089343203901282
1.0,0.08121827411167512,0.4115786251233035,0.26722950721513683,0.0,0.0,0.14634146341463414,0.05,0.25,0.09487153642465301,0.004356951150760053,0.325,0.6804329975579155
0.0,0.08121827411167512,0.35637266573692983,0.2835159571283157,1.0,0.8,0.1951219512195122,0.0,0.5,0.28262628950879015,0.0,0.725,0.21214632075374373
0.0,0.08375634517766498,0.42017075410728255,0.3953296209807796,0.0,0.0,0.0975609756097561,0.0,0.0,0.18868452318380763,0.0,0.35,0.681113746671654
0.0,0.08375634517766498,0.5781353107248546,0.554278186934914,0.0,0.8,0.17073170731707318,0.0,0.0,0.2980181759251875,0.0,0.675,0.29377236310821037
0.07833450952717008,0.38777767428864157,0.4185912112815325,0.44294365251900075,0.7177134791813691,0.3408609738884968,0.2246089543509556,0.007401199717713479,0.034183133380381085,0.27060675576035387,0.004821423505574867,0.4946189131968948,0.4974999775876987
1.0,0.08375634517766498,0.2831388822749073,0.3835578707861805,0.0,0.0,0.04878048780487805,0.05,0.25,0.22830520442495736,0.0,0.325,0.8356637211160725
0.0,0.08375634517766498,0.4174223613048063,0.3692892641159212,0.0,0.0,0.04878048780487805,0.0,0.0,0.19258358323797659,0.0,0.325,0.7223428819091916
0.0,0.08629441624365482,0.5476852954182115,0.564020118555775,0.0,0.8,0.17073170731707318,0.0,0.0,0.273888492800304,0.004356951150760053,0.675,0.30326293250390934
0.0,0.08629441624365482,0.4613422225245757,0.35654751212502245,0.0,0.0,0.024390243902439025,0.05,0.0,0.42152047052420916,0.0,0.125,0.6609925003045779
